岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
PR实习生,140-160元/天,3个月,"上市以来，凡科通过为企业用户 提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！

现需要招聘PR实习生，为此，我们声明如下！
☆ 弹性打卡，节假日前错峰上下班，享受假期
☆ 仪式满满的节日活动，感受节日氛围
☆ 羽毛球、篮球、足球等每周体育活动一起嗨，给健康加满分
☆ 美味下午茶，减肥是不可能的了

「你将会负责」
1、协助处理各类侵权事件；
2、监控品牌信息曝光情况及论坛、问答平台、自媒体等网络媒体的舆情情况；
3、正确引导舆论方向，对舆情内容进行内、外部沟通查实以及相应的处理；
4、协助日常重要访客的接待工作；
5、完成公司安排的其他工作。",大专,1,2025-06-30 19:00,凡科,301~1000人,广东,互联网|游戏|软件
海外社交媒体内容运营（远程实习）,面议,1个月,"1、根据关键词或问题，进行流程化的图文和视频内容生产
2、facebook、youtube、x、instagram等平台官方账号内容更新
3、whatsapp、telegram、wechat（微信）等平台用户沟通交流",本科,10,2025-06-25 10:10,迅雷网络,1001~3000人,广东,互联网|游戏|软件
媒体运营实习生,100-120元/天,3个月,"1.协助完成公司新媒体平台（涵盖视频号、公众号、抖音等）的搭建与完善，深度参与选题规划、内容创作、拍摄剪辑及账号运营等全流程工作。
2.根据业务需求，创意设计新媒体营销内容，形式包括图文、视频、H5等，负责内容制作及后期制作，确保内容的吸引力和传播力。
3.协助与新媒体平台粉丝互动及社群建设工作，通过定期互动、举办活动等方式，增强用户粘性，提升粉丝的忠诚度和活跃度。",本科,1,2025-06-20 20:25,数产集团,301~1000人,湖北,IT|通信|电子
高端租赁管家+欢迎实习生+专业不限,250-450元/天,6个月,"【工作职责】
1.深度了解北京中高端楼盘及周边生活配套，与高净值人群为伍，成为城市房产专家
2.为顾客提供优质中高端房屋租赁、买卖服务体验，让房产交易化作美好的生命互动
3.和社区业主建立深度链接，积累信任和口碑，以公益之心扎根社区，成为社区友邻",本科,33,2025-07-03 08:57,北京麦田,3001人及以上,北京,建筑|地产|家居
客户服务部实习生,240-250元/天,1个月,"1.	协助ESA品牌顾问回答顾客提出的售前售后问题。
2.	在品牌顾问的指导下，回答顾客提出的Theory售前售后的问题。
3.	完成部门内部其他上级交待的工作。",大专,1,2025-06-19 14:30,Theory,301~1000人,上海,快速消费品
内容运营短期劳务实习生,100-200元/天,3个月,"1、负责视频拍摄、剪辑
2、各类文案独立撰写及发布
3、与媒体积极沟通、协调以确保宣传效果和质量
4、平台运营，定制粉丝运营计划，进行粉丝渠道维护，提升粉丝用户粘性和关注度",本科,30,2025-07-03 13:08,腾讯,3001人及以上,北京,互联网|游戏|软件
海外社媒运营（留学生优先）,50-100元/天,2个月,"1.负责相应资讯采集、整理、审核及发布（综合文字、图片等资料）；
2.负责相应文案撰写，展现独到的观点和创意
3.根据运营规划，编辑发布日常内容，及主题活动文案的撰写和推广 ；
4.统计分析内容数据，为运营部门提供数据支撑。
5.熟悉YouTube，Instagram 小红书和B站内容推荐机制，有成熟起号经验优先
6.熟悉泛娱乐，音乐类赛道内容的剪辑制作，能为流量变现的链路负责，请附带作品或项目经验。",本科,3,2025-07-03 13:08,腾讯,3001人及以上,北京,互联网|游戏|软件
运营实习生,3-4K/月,3个月,"1.根据项目和内容，及时更新并和周边部门协调，完成导师或主管交代的任务；
2.通过多样化的手段对用户进行引导和激励，提升用户使用频率和活跃；
3.定期进行沉寂用户激活和流失用户挽回，确保用户留存率。",本科,4,2025-06-29 16:24,刺猬 CIWEI,51~100人,广东,互联网|游戏|软件
校园大使（线上）,面议,1个月,"1.校园推广：通过各种渠道和方法（社群、朋友圈），进行信息传播。
2.社群管理：建立并管理校园社群，维护良好的社群氛围，增强学生对品牌的认同感。
3.活动策划与执行：策划并组织校园内的线上线下活动，提升品牌影响力。
4.市场调研：深入了解校园市场，收集并分析学生需求，为公司提供市场反馈。
5.品牌合作：与校园社团、媒体等建立合作关系，扩大品牌在校园的覆盖。
6.团队建设：招募并管理校园团队，培养团队成员的运营能力和团队协作精神。",本科,100,2025-07-01 15:52,刺猬 CIWEI,51~100人,广东,互联网|游戏|软件
腾讯云产品实习/直播运营,面议,2个月,"腾讯云产品运营实习生(数智人&大模型方向)

岗位职责

1.商机初筛:
对接客户咨询，梳理需求场景，初步判断客户需求与产品匹配度;
2.客户沟通:通过电话/企业微信/线上会议等方式解答基础技术问题，引导客户对接销售或解决方案团队;
3.数据管理:整理客户画像、商机跟进记录，定期输出数据分析报告;
4.市场支持:协助制作产品案例库、竞品分析及行业动态跟踪。",本科,5,2025-06-27 11:55,腾讯,3001人及以上,北京,互联网|游戏|软件
