岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
寒暑假工,4-6K/月,2个月,负责产线的正常生产,不限,60,2023-04-07 14:41,湖北纳杰,3001人及以上,湖北,咨询/法律/人力资源
编辑实习生——护理学,120-200元/天,3个月,与护理学专业考研考证相关的笔记整理、核对答案解析等。,硕士,100,2023-04-10 09:02,圣才电子书,101~300人,北京,互联网|游戏|软件
马原编辑实习生,120-200元/天,3个月,跟药学专业考研考证相关的笔记整理、核对答案解析等。,硕士,100,2023-04-04 08:45,圣才电子书,101~300人,北京,互联网|游戏|软件
猎头顾问实习生,100-200元/天,3个月,1、协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求；,本科,15,2023-04-10 17:38,科锐国际,301~1000人,陕西,咨询/法律/人力资源
文案实习生（帮朋友公司发）,140-150元/天,6个月,工作内容：,本科,1,2023-04-03 17:23,CGP,101~300人,上海,咨询/法律/人力资源
小学助教老师,100-200元/天,1个月,1、跟进体验课学员，与学员及家长保持良好沟通，加强客户对课程产品的兴趣；,本科,20,2023-03-31 17:49,跟谁学高途课堂,3001人及以上,四川,教育培训
人力资源实习生,170-230元/天,4个月,1. 协助开展各项人员招聘工作，参与面试全流程管理，并协助优化招聘相关制度、流程和表单；,本科,2,2023-03-31 15:53,科园贸易,301~1000人,北京,生物|医药
蔚来实习生,150-200元/天,6个月,1、负责对内和对外的VI设计与落地；,本科,1,2023-03-31 14:21,NIO蔚来,3001人及以上,上海,汽车|机械|制造
服务代表实习,100-150元/天,4个月,工作职责:,大专,2,2023-03-31 14:20,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来顾问助理（义乌）,100-150元/天,6个月,1.在展厅接待潜在用户，介绍车辆信息，解答疑问。,大专,1,2023-03-31 14:19,NIO蔚来,3001人及以上,上海,汽车|机械|制造
运营实习生,100-150元/天,6个月,工作职责: ,本科,1,2023-03-31 14:19,NIO蔚来,3001人及以上,上海,汽车|机械|制造
交付实习生,100-150元/天,3个月,1. 完成车辆美容之前的文件准备工作；,本科,2,2023-03-31 14:18,NIO蔚来,3001人及以上,上海,汽车|机械|制造
交付实习生,100-150元/天,4个月,1.负责交付现场秩序维护以及物料准备,大专,1,2023-03-31 14:18,NIO蔚来,3001人及以上,上海,汽车|机械|制造
活动运营实习生,100-150元/天,5个月,1、 统筹业务运营阶段性目标与策略，实现良好的过程管理，并对阶段性目标结果与输出负责；,大专,1,2023-03-31 14:18,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来空间运营实习生,100-150元/天,6个月,1.价值观建立，在日常工作中践行蔚来价值观,本科,1,2023-03-31 14:17,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来实习生,150-200元/天,6个月,1、负责对内和对外的VI设计与落地；,本科,1,2023-03-31 14:17,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来顾问实习生（金华）,100-150元/天,6个月,1.在展厅接待潜在用户，介绍车辆信息，解答疑问。,大专,1,2023-03-31 14:10,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来实习生（市场方向）,140-150元/天,6个月,1.  用户活动策划与执行；,本科,1,2023-03-31 14:09,NIO蔚来,3001人及以上,上海,汽车|机械|制造
市场部实习生,100-150元/天,6个月,内容生产：协助参与产出具备品牌产品力、向往感的内容,本科,1,2023-03-31 14:08,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来顾问助理（永康）,100-150元/天,6个月,1.在展厅接待潜在用户，介绍车辆信息，解答疑问。,大专,1,2023-03-31 14:07,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来顾问助理实习生,100-150元/天,6个月,1.在展厅接待潜在用户，介绍车辆信息，解答疑问。,大专,1,2023-03-31 13:58,NIO蔚来,3001人及以上,上海,汽车|机械|制造
HR Intern人事实习生,149-150元/天,长期,注：岗位不接受线上实习，地点位于上海市金山区,本科,1,2023-03-31 13:26,上海乐高乐园度假区,1001~3000人,上海,生活服务
用户增长数据分析,200-300元/天,3个月,1. 洞察分析：分析和挖掘目标客群及潜在客群的需求，研究用户行为和消费习惯，为产品和运营的优化提供科学支持；包括但不限于：用户生命周期管理，兴趣偏好预测，行为特征评分，基础画像标签，流量漏斗优化等； ,硕士,2,2023-03-31 10:51,京东,3001人及以上,北京,互联网|游戏|软件
人力资源部实习生,120-140元/天,3个月,1、协助开展招聘工作，简历筛选、面试安排等；,本科,1,2023-03-31 10:03,财通基金,301~1000人,上海,金融
后端开发实习生（可转正）,4-6K/月,3个月,1、参与产品需求、研发设计的相关讨论，能快速理解业务需求；,本科,10,2023-04-05 15:10,科通实业,51~100人,上海,互联网|游戏|软件
猎头顾问助理,100-150元/天,长期,1、协助猎头顾问，对所操作的项目职位进行学习、资料收集；,本科,5,2023-04-10 17:25,猎聘网,1001~3000人,广东,互联网|游戏|软件
人力资源实习生,100-120元/天,3个月,（1）HRBP：配合同事完成业务线招聘、培训、员工关系等模块相关的专项工作； ,本科,2,2023-04-10 14:23,深圳中海地产有限公司,101~300人,广东,建筑|地产|家居
web前端开发实习生（可转正）,4-6K/月,3个月,1、参与产品需求、研发设计的相关讨论，能快速理解业务需求；,本科,10,2023-04-10 11:55,科通实业,51~100人,上海,互联网|游戏|软件
行政助理实习生,100-150元/天,2个月,• 作为联络人，协助GCO China进行临床试验审批材料的盖章与邮寄。,本科,1,2023-04-10 13:29,利奥医药,101~300人,全国,生物|医药
产品助理实习生（可转正）,4-6K/月,3个月,1，协助项目经理完成整个项目过程工作开展；,本科,10,2023-04-04 12:38,科通实业,51~100人,上海,互联网|游戏|软件
新媒体运营实习生（可转正）,4-6K/月,3个月,1、负责新媒体（官方微博、微信、视频号等）的日常运营工作，包括但不限于活动策划、热点追踪、用户互动、传播资源的整合，增加粉丝数、增强活跃度、提高曝光率。,本科,10,2023-04-06 19:00,科通实业,51~100人,上海,互联网|游戏|软件
人力资源实习生（招聘方向）,100-120元/天,长期,1、协助猎头顾问，对所操作的项目职位进行学习、资料收集；,不限,3,2023-04-10 17:25,猎聘网,1001~3000人,广东,互联网|游戏|软件
HR实习,120-150元/天,3个月,DSS Sustainable Solutions is the former consulting business unit of DuPont known as DuPont Sustainable Solutions which became an independent consulting firm in 2019 after its separation from DuPont. ,本科,1,2023-04-10 09:27,DSS,51~100人,上海,咨询/法律/人力资源
质量实习生（APU质量）,120-130元/天,6个月,1、协助EWS文档更新,本科,1,2023-04-10 09:09,法雷奥佛山冷却,301~1000人,广东,汽车|机械|制造
销售顾问实习生,3-5K/月,3个月,一、福利待遇说明：,本科,10,2023-04-05 15:10,科通实业,51~100人,上海,互联网|游戏|软件
测试实习生（可转正）,4-6K/月,3个月,1、参与本公司项目开发的各个环节，全面了解产品的功能点；,本科,10,2023-04-05 15:10,科通实业,51~100人,上海,互联网|游戏|软件
"Scheduler, Intern",120-150元/天,3个月,DSS Sustainable Solutions is the former consulting business unit of DuPont known as DuPont Sustainable Solutions which became an independent consulting firm in 2019 after its separation from DuPont. ,本科,1,2023-04-10 09:27,DSS,51~100人,上海,咨询/法律/人力资源
法务实习生（可转正）,4-6K/月,3个月,1.对研究院业务提供法律支持，对法律风险进行评估并提出改进方案；,本科,10,2023-04-10 11:55,科通实业,51~100人,上海,互联网|游戏|软件
编导/短视频实习生（可转正）,4-6K/月,3个月,1.负责15秒-60秒广告短视频的撰本撰写、内容策划、视频拍摄、后期剪辑等工作； ,本科,10,2023-04-06 19:00,科通实业,51~100人,上海,互联网|游戏|软件
线上HR助理实习生,1-2K/月,长期,1、  协助HR主管进行全职人员、兼职人员以及实习生的招聘；,不限,15,2023-04-06 19:00,科通实业,51~100人,上海,互联网|游戏|软件
人力资源实习生-员工关系方向,100-150元/天,2个月,1、协助员工关系的入、离、续、转、调的手续办理,本科,1,2023-04-10 13:29,利奥医药,101~300人,全国,生物|医药
猎头顾问助理实习生/招聘实习生,100-140元/天,2个月,下一位【猎头顾问助理】会是你吗？有意往人力资源招聘方向发展的童鞋们，赶紧投递简历吧！,本科,3,2023-04-10 17:25,猎聘网,1001~3000人,广东,互联网|游戏|软件
财务助理实习生（可转正）,4-6K/月,3个月,1、财务数据录入。,本科,10,2023-04-10 11:55,科通实业,51~100人,上海,互联网|游戏|软件
精益生产实习生,120-130元/天,6个月,1、负责工厂标准工时的测定，工序重排方案的制订；,本科,1,2023-04-10 09:03,法雷奥佛山冷却,301~1000人,广东,汽车|机械|制造
人力资源实习生（员工关系方向）,3-4K/月,3个月,1、协调办理员工的入职、转正、离职、调岗等手续；,本科,1,2023-04-03 16:52,深圳金斧子,301~1000人,广东,金融
品牌设计实习生,150-200元/天,4个月,【源码资本】品牌设计实习生,本科,1,2023-03-30 17:51,源码资本,11~50人,北京,金融
软件测试实习生（24届-广州）,150-220元/天,5个月,1、参与需求评审，充分理解项目需求细节，并提出评审缺陷；,本科,5,2023-03-30 17:39,华资软件,1001~3000人,广东,互联网|游戏|软件
项目经理管培生（24届-广州）,150-220元/天,5个月,注意：此岗位最终培养方向为软件项目经理岗位，旨在培养同学能够在3-4年的培养周期内独立负责事业部软件类项目管理工作，采用1对1导师制，导师为具有百万级以上项目管理经验的资深项目经理，同时在月度/季度/年度不同周期内设置阶段目标以及不同工作内容的轮岗，逐步根据能力赋予一定挑战性的工作。,本科,5,2023-03-30 17:36,华资软件,1001~3000人,广东,互联网|游戏|软件
Finance Intern,120-140元/天,3个月,Job Describe:,本科,1,2023-03-30 16:39,SABIC,3001人及以上,上海,能源|环保
HR实习生,120-140元/天,3个月,-协助HR开展各项人力资源工作；,本科,1,2023-03-30 15:05,SABIC,3001人及以上,上海,能源|环保
人事专员,5-10K/月,3个月,湖北纳杰人力资源有限公司面向广大应届毕业生、实习生诚聘招聘专员,大专,10,2023-03-31 08:48,湖北纳杰,3001人及以上,湖北,咨询/法律/人力资源
BO客服实习生,120-150元/天,6个月,1.技术服务部订单的处理（包括发货跟踪，订单整理，维修寄售库存处理等）；,本科,1,2023-03-30 11:48,费森尤斯医疗,1001~3000人,上海,生物|医药
仓库办公室实习生,100-150元/天,6个月,进出货物料的管控，仓库的日常管理,大专,1,2023-03-30 11:26,博世,301~1000人,山东,汽车|机械|制造
新媒体运营实习生,150-180元/天,3个月,岗位职责：,本科,1,2023-03-30 11:19,叽里呱啦,301~1000人,上海,互联网|游戏|软件
Logistics Intern / 物流实习生,100-150元/天,6个月,物流部门的相关沟通与支持工作,本科,1,2023-03-30 11:18,博世,301~1000人,山东,汽车|机械|制造
视频编辑实习生,140-160元/天,6个月,上市以来，凡科通过为企业用户 提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！,大专,1,2023-04-04 09:32,凡科,301~1000人,广东,互联网|游戏|软件
HR（人力资源）实习生,140-200元/天,3个月,【仅接受可到场实习生，坐标海淀区海淀桥】,本科,2,2023-04-04 10:32,创业大街,51~100人,北京,咨询/法律/人力资源
投资实习生（生物医药方向）,5-7K/月,3个月,1、协助部门撰写医药、医疗行业分析报告； ,硕士,2,2023-04-10 17:12,江西济民可信集团有限公司,3001人及以上,江西,生物|医药
设计助理实习生,140-160元/天,3个月,上市以来，凡科通过为企业用户提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！,大专,2,2023-04-04 09:32,凡科,301~1000人,广东,互联网|游戏|软件
HR实习生-招聘,150-200元/天,4个月,1、了解业务需求，通过各种招聘渠道寻访并识别匹配的人选。                                                                                            2、协助招聘，对接面试官和候选人，安排和接待面试并全程跟进面试流程,本科,2,2023-04-06 19:56,快手,3001人及以上,北京,互联网|游戏|软件
设计师实习生,180-200元/天,3个月,上市以来，凡科通过为企业用户提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！,大专,1,2023-04-07 09:32,凡科,301~1000人,广东,互联网|游戏|软件
研究咨询实习生,140-200元/天,3个月,1、辅助负责人，做前沿趋势研究。结合新经济、新政策、新趋势热点等，通过行业洞察发现新的商业机会，探索大企业第二增长需求；,本科,5,2023-04-04 10:32,创业大街,51~100人,北京,咨询/法律/人力资源
行业研究实习生,140-200元/天,3个月,1、先进制造、生物医药、快速消费品等相关细分领域的数字化及智能化研究，产业链赋能研究；,本科,10,2023-04-04 10:32,创业大街,51~100人,北京,咨询/法律/人力资源
市场调研实习生,100-150元/天,3个月,1. 参观各类贸易性展会 ,本科,1,2023-04-10 10:21,光亚法兰克福,11~50人,广东,广告|传媒|文化|体育
数据跟踪实习生,140-200元/天,3个月,1、承担企业、行业资料查找收集和政策跟踪工作，有筛选信息，提炼汇总能力。,本科,10,2023-04-04 10:33,创业大街,51~100人,北京,咨询/法律/人力资源
HR实习生（招聘方向）,150-200元/天,4个月,1、了解业务需求，通过各种招聘渠道寻访并识别匹配的人选。                                                                                            2、协助招聘，对接面试官和候选人，安排和接待面试并全程跟进面试流程,本科,2,2023-04-06 19:56,快手,3001人及以上,北京,互联网|游戏|软件
活动执行助理,140-200元/天,3个月,1、协助策划开展各类活动，并具体执行，细化工作流程，有序推进工作安排。,本科,2,2023-04-04 10:32,创业大街,51~100人,北京,咨询/法律/人力资源
法务实习生,40-80元/天,3个月,职位描述：,本科,2,2023-04-07 09:59,人民网,1001~3000人,北京,互联网|游戏|软件
电话回访实习生（无销售性质）,140-160元/天,3个月,上市以来，凡科通过为企业用户 提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！,大专,2,2023-04-07 09:32,凡科,301~1000人,广东,互联网|游戏|软件
展会邀约实习生,120-150元/天,3个月,1、负责联络行业机构及跨界协会，邀请其进行买家组团合作，招募专业观众团体；,大专,3,2023-04-10 14:08,光亚法兰克福,11~50人,广东,广告|传媒|文化|体育
行政专员-实习生,6-8元/天,6个月,1、负责公司前台接待和办公室5S管理,大专,1,2023-04-07 10:09,苏州灵猴机器人,301~1000人,广东,汽车|机械|制造
蔚来顾问助理（衢州）,100-150元/天,6个月,1.在展厅接待潜在用户，介绍车辆信息，解答疑问。,大专,1,2023-03-30 10:31,NIO蔚来,3001人及以上,上海,汽车|机械|制造
交付实习生,100-150元/天,6个月,1.负责交付现场秩序维护以及物料准备,大专,1,2023-03-30 10:31,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来顾问助理（衢州）,100-150元/天,6个月,1.在展厅接待潜在用户，介绍车辆信息，解答疑问。,大专,1,2023-03-30 10:31,NIO蔚来,3001人及以上,上海,汽车|机械|制造
人力资源实习生,150-180元/天,3个月,晶科科技（601778.SH）总部招聘人力资源实习生 2名,本科,2,2023-03-30 09:57,晶科科技,1001~3000人,上海,能源|环保
广东永旺超市门店短期/长期兼职,130-180元/天,长期,广东永旺超市门店短期/长期兼职,不限,50,2023-04-03 16:37,善世服务,101~300人,广东,咨询/法律/人力资源
人力资源管理实习生,120-150元/天,3个月,1. 协助完成培训及人才发展落地工作，如培训项目的物料准备、活动安排和相关图文制作等工作；,本科,1,2023-03-30 09:21,美的集团,3001人及以上,广东,汽车|机械|制造
展会地推,120-130元/天,2个月,前往健身工作室、健身房介绍展会基本信息，并邀约参会。,不限,2,2023-04-03 15:36,善世服务,101~300人,广东,咨询/法律/人力资源
会展实习生（中文）,2-3K/月,3个月,1.协助买家邀约工作、组团电话邀请，完成买家邀请目标;,本科,3,2023-04-03 15:22,善世服务,101~300人,广东,咨询/法律/人力资源
会展实习生（英语）,2-3K/月,3个月,1.买家电话邀约:负责家居礼品展海外买家电话、邮件的邀请;,本科,2,2023-04-03 15:16,善世服务,101~300人,广东,咨询/法律/人力资源
订单跟进助理实习生,150-200元/天,3个月,1、对接采购人员，确认订单预计交付日期，并反馈给销售人员；,本科,1,2023-03-29 15:56,美的集团,3001人及以上,广东,汽车|机械|制造
市场营销策划（短期实习）,120-150元/天,3个月,1、协助团队策划与组织各类研究项目、赛事项目；,本科,1,2023-03-29 15:15,东方财富,3001人及以上,上海,互联网|游戏|软件
市场运营实习生,80-120元/天,3个月,工作职责：,本科,20,2023-03-30 10:38,高顿教育集团,1001~3000人,上海,教育培训
文案策划实习生,80-120元/天,3个月,工作职责：,本科,20,2023-03-30 10:38,高顿教育集团,1001~3000人,上海,教育培训
用户增长运营实习生,80-120元/天,3个月,工作职责：,本科,20,2023-03-30 10:38,高顿教育集团,1001~3000人,上海,教育培训
战略客户总部实习生（市场营销方向）,120-150元/天,3个月,【工作内容】,本科,2,2023-03-29 11:13,云南信托,101~300人,上海,金融
总裁办实习（偏品牌）,130-150元/天,3个月,1、参与公司流程管理的跟进 ,大专,1,2023-03-29 11:12,微创神通,301~1000人,上海,生物|医药
人力资源实习生,150-180元/天,3个月,1、了解公司招聘流程制度，协助招聘团队进行简历的筛选、面试约访、人才档案管理与更新,本科,1,2023-03-29 10:45,晶科电力,1001~3000人,上海,能源|环保
广东永旺总部人力资源实习生,150-200元/天,3个月,岗位描述：,大专,1,2023-03-29 09:57,广东永旺,3001人及以上,广东,交通|物流|贸易
短视频编导实习生,100-120元/天,3个月,1、负责公司抖音、快手等短视频账号运营、选题策划、脚本创作、视频发布，并跟拍跟剪工作；,本科,2,2023-03-29 09:55,中南博集天卷,101~300人,北京,广告|传媒|文化|体育
控价实习生,100-120元/天,6个月,1、协助负责公司畅销书籍售价管控工作，能够基于不同书籍和不同渠道商情况，快速梳理复杂情况，完成售价管控工作；,本科,3,2023-03-29 09:55,中南博集天卷,101~300人,北京,广告|传媒|文化|体育
财务实习生,120-150元/天,5个月,"Ensure timely and accurate monthly close, reporting for the China entity to meet FP&A reporting timelines.",本科,1,2023-04-10 15:43,铁狮门,101~300人,上海,建筑|地产|家居
金融工程编辑实习生,100-200元/天,3个月,整理笔记、核对答案解析等。,硕士,100,2023-04-10 09:00,圣才电子书,101~300人,湖北,互联网|游戏|软件
内容审核实习生,100-120元/天,3个月,职位描述：,不限,15,2023-04-04 08:48,一览科技,101~300人,北京,互联网|游戏|软件
内容运营实习生,100-120元/天,3个月,岗位职责：,不限,15,2023-04-04 08:46,一览科技,101~300人,北京,互联网|游戏|软件
金融学编辑实习生,100-200元/天,3个月,与金融学专业考研考证相关的笔记整理、核对答案解析等。,硕士,100,2023-04-10 09:00,圣才电子书,101~300人,湖北,互联网|游戏|软件
统计学编辑实习生,100-200元/天,3个月,与统计学专业考研考证相关的笔记整理、核对答案解析等。,硕士,100,2023-04-10 09:00,圣才电子书,101~300人,湖北,互联网|游戏|软件
风险管理岗,100-105元/天,3个月,1、协助投资组合风险管理工作，对投资组合的市场风险、流动性风险、信用风险等进行识别、评估和监控；,硕士,1,2023-03-28 17:54,东海基金,51~100人,上海,金融
国际商务实习生,100-110元/天,长期,1、协助部门进行签证类相关事务；,大专,1,2023-03-29 13:39,Fesco广东,301~1000人,广东,咨询/法律/人力资源
短视频编导实习生,100-150元/天,6个月,【请务必附上视频作品链接，在线链接优于网盘，方便审阅】,本科,1,2023-03-28 16:53,领英中国,101~300人,北京,互联网|游戏|软件
新媒体运营实习生,2-4K/月,3个月,1、拥有200万粉丝的职场第一大号LinkedIn的选题策划、文章排版、头条文章撰写或编译。,本科,1,2023-03-28 16:52,领英中国,101~300人,北京,互联网|游戏|软件
美术实习生（Art Intern）,99-100元/天,3个月,在部门负责人的领导下，与团队协调配合，并参与创意及设计工作； ,本科,1,2023-03-28 14:02,dentsu,1001~3000人,北京,广告|传媒|文化|体育
美术实习生（Art Intern）,面议,3个月,在部门负责人的领导下，与团队协调配合，并参与创意及设计工作； ,本科,1,2023-03-28 13:57,dentsu,1001~3000人,北京,广告|传媒|文化|体育
"Omni-channel Intern, Sales",100-120元/天,6个月,Primary Duties,本科,2,2023-03-28 10:15,柯锐世,1001~3000人,上海,汽车|机械|制造
招聘实习生,120-150元/天,2个月,1.根据不同职位需求，协助开发和拓展有效的招聘渠道，多角度多渠道寻找候选人，协助进行面试流程；,本科,2,2023-04-10 10:03,仲望咨询,101~300人,上海,咨询/法律/人力资源
猎头管培生,120-150元/天,3个月,协助顾问调查并研究相关行业、市场和客户信息，并学习相关行业知识；,本科,2,2023-04-10 10:03,仲望咨询,101~300人,上海,咨询/法律/人力资源
销售管理,8-16K/月,长期,1. 负责公司产品的销售及推广； ,大专,10,2023-04-10 13:39,北京麦田,3001人及以上,北京,建筑|地产|家居
销售实习生,120-150元/天,3个月,1、了解教育+X行业的市场动态，可协助团队制定客户市场策略及销售计划,本科,3,2023-03-27 21:05,51WORLD,301~1000人,北京,互联网|游戏|软件
TB实习生（上海）,120-200元/天,4个月,1、配合销售做销售拓展，挖掘客户需求,本科,5,2023-03-27 21:04,51WORLD,301~1000人,北京,互联网|游戏|软件
市场营销实习生,2-3K/月,6个月,1、根据年度计划协调组织事业部参加行业展会；,本科,1,2023-03-27 17:37,中海达,1001~3000人,广东,IT|通信|电子
Customer Screening Intern,150-180元/天,6个月,在这个职位，你有机会,本科,1,2023-03-27 16:38,飞利浦,3001人及以上,上海,生物|医药
GBS HS OA Intern,150-180元/天,6个月,岗位职责：,本科,1,2023-03-27 16:32,飞利浦,3001人及以上,上海,生物|医药
上市公司 · 猎头实习生（成都）线下,100-200元/天,3个月,1、协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求；,本科,10,2023-03-27 16:17,科锐国际,3001人及以上,北京,咨询/法律/人力资源
上市公司 · 猎头实习生（南京）线下,100-200元/天,3个月,1、协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求；,本科,10,2023-03-27 16:16,科锐国际,3001人及以上,北京,咨询/法律/人力资源
上市公司 · 猎头实习生（可线上）,100-200元/天,3个月,1、协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求；,本科,10,2023-03-27 15:43,科锐国际,3001人及以上,北京,咨询/法律/人力资源
上市公司校园大使,面议,3个月,职位描述：,不限,50,2023-03-27 11:23,科锐国际,3001人及以上,北京,咨询/法律/人力资源
世界500强 核保部实习生,100-150元/天,6个月,核保与产品部实习生,本科,1,2023-04-10 13:16,安世联合,1001~3000人,北京,金融
【北京】官网运营实习生,120-160元/天,3个月,1. 使用Adobe系统对网站内容进行基础运维；,不限,2,2023-04-06 13:51,杰尔广告,1001~3000人,北京,广告|传媒|文化|体育
罗德与施瓦茨公司6G无线通信研究员实习生招聘,4-6K/月,6个月,罗德与施瓦茨公司6G无线通信研究员实习生招聘,硕士,1,2023-04-04 17:30,中智职业发展有限公司,301~1000人,北京,咨询/法律/人力资源
设计实习生,120-160元/天,3个月,-Art相关工作，参与创意发想,本科,1,2023-04-10 09:35,杰尔广告,1001~3000人,北京,广告|传媒|文化|体育
实习生-销售团队,100-150元/天,3个月,上海分公司职位,本科,1,2023-04-10 10:32,安世联合,1001~3000人,北京,金融
中盈保险资料审核实习生（可提供转正机会）,140-150元/天,2个月,中盈简介,大专,2,2023-04-07 16:30,中智职业发展有限公司,301~1000人,北京,咨询/法律/人力资源
投资实习生,90-120元/天,3个月,1. 协助投资经理开展市场及行业研究，参与及独立负责行业信息梳理，市场数据整理，专家访谈和行业报告撰写等工作；,本科,1,2023-04-10 17:18,华侨银行股权投资部门,11~50人,上海,金融
软件测试实习生,120-180元/天,6个月,1.负责bip产品的接口工作、产品业务测试。,本科,1,2023-04-07 14:49,用友网络,3001人及以上,北京,互联网|游戏|软件
罗德与施瓦茨公司通信人工智能研究员实习生招聘,4-6K/月,6个月,罗德与施瓦茨公司通信人工智能研究员实习生招聘,硕士,1,2023-04-04 17:30,中智职业发展有限公司,301~1000人,北京,咨询/法律/人力资源
投资实习生,90-120元/天,3个月,1. 协助投资经理开展市场及行业研究，参与及独立负责行业信息梳理，市场数据整理，专家访谈和行业报告撰写等工作；,本科,1,2023-04-10 17:18,华侨银行股权投资部门,11~50人,上海,金融
软件测试实习生,120-180元/天,6个月,1.负责bip产品的接口工作、产品业务测试。,本科,1,2023-04-07 14:49,用友网络,3001人及以上,北京,互联网|游戏|软件
保险运营实习生,100-150元/天,6个月,"•   Assist to handle policy admin including issue policy, policy cancellation",本科,4,2023-04-03 11:19,安世联合,1001~3000人,北京,金融
HR Intern,100-150元/天,6个月,世界500强外企- 人力资源部实习生,本科,1,2023-04-03 11:19,安世联合,1001~3000人,北京,金融
新媒体运营实习生,120-180元/天,3个月,1、新媒体平台日常管理和运营，完成内容策划及传播，完善新媒体矩阵； ,本科,1,2023-03-25 12:55,用友股份,3001人及以上,北京,IT|通信|电子
设计实习生,120-180元/天,3个月,1、结合产品宣传设计各类海报、PPT、短视频等；,本科,1,2023-03-25 12:55,用友股份,3001人及以上,北京,IT|通信|电子
广州顺丰校园大使,面议,长期,1、社群运营：主导本校内应届生顺丰社群的组建与运营，维持群内的活跃度；,本科,15,2023-03-25 10:25,广州顺丰,3001人及以上,广东,交通|物流|贸易
人力资源实习生,2-4K/月,3个月,1.拓展招聘渠道，发布职位，更新招聘信息； ,本科,1,2023-03-29 16:06,金蝶账无忧,101~300人,广东,互联网|游戏|软件
监理实习生-青岛,58-115元/天,6个月,1、负责现场监理或项目管理工作；,大专,10,2023-04-06 16:00,同济咨询,301~1000人,上海,咨询/法律/人力资源
项目实习生（深圳）,3-6K/月,3个月,1.协助公司项目的信息收集&投标准备； ,本科,2,2023-04-10 17:47,刺猬 CIWEI,51~100人,广东,互联网|游戏|软件
广告运营实习生,150-200元/天,3个月,职责描述：,本科,1,2023-04-07 11:22,手回集团,301~1000人,广东,互联网|游戏|软件
年报审计实习生（地点贵州）,100-120元/天,2个月,1.工作内容：年报审计；,本科,3,2023-04-10 09:56,国富所,301~1000人,北京,咨询/法律/人力资源
内勤实习生,100-150元/天,3个月,职责描述：,本科,1,2023-04-07 11:28,手回集团,301~1000人,广东,互联网|游戏|软件
拍摄剪辑实习生,130-150元/天,2个月,1.根据要求独立完成抖音视频拍摄、制作、剪辑、特效等。,大专,5,2023-04-04 15:18,凯儿得乐,101~300人,广东,快速消费品
新媒体运营（实习）,3-4K/月,3个月,1.进行内容创作和编辑，根据新媒体矩阵定位发布及运营相关内容；定期进行渠道研究和用户分析；,本科,4,2023-04-06 10:43,刺猬 CIWEI,51~100人,广东,互联网|游戏|软件
小红书运营实习生,3-4K/月,3个月,1、负责小红书内容运营，制作具有传播力的短视频和图文内容，按时发布、更新及回复互动； ,本科,2,2023-04-06 10:43,刺猬 CIWEI,51~100人,广东,互联网|游戏|软件
人力实习生【人力行政中心】,120-200元/天,3个月,1、筛选简历，安排面试以及面试接待；,本科,1,2023-04-10 11:25,兔展,301~1000人,广东,互联网|游戏|软件
售后助理实习（需出外勤）,150-200元/天,3个月,话费补贴300元/月（实报实销），本科150元/天，硕士学历200元/天,本科,1,2023-03-29 13:23,上海中智,3001人及以上,上海,咨询/法律/人力资源
项目执行合伙人（内勤执行实习生）,112-114元/天,长期,1.合理安排校园招聘项目前期宣传任务并进行监控及跟进处理；；,本科,6,2023-03-29 11:47,前程无忧,1001~3000人,广东,互联网|游戏|软件
人力资源实习生,100-150元/天,3个月,1. 负责IT行业相关职位的招聘,本科,5,2023-03-29 11:47,万宝盛华,101~300人,广东,互联网|游戏|软件
项目执行合伙人（外勤执行实习生）,112-114元/天,长期,1.负责校园招聘项目在校园内的推广工作跟进，包括但不限于线下物料宣传、网络推广等的校园大使执行情况跟进；,本科,6,2023-03-29 11:43,前程无忧,1001~3000人,广东,互联网|游戏|软件
