岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
财务管理实习生,120-150元/天,长期,1、协助进行科目对账，资金类账户核对；,本科,1,2023-04-10 13:28,美的集团,3001人及以上,广东,汽车|机械|制造
国盛证券人力资源总部实习生,70-90元/天,3个月,岗位职责： 1、协助组织区域总部人员招聘、培训等工作； 2、协助办理区域总部入、转、调、离等相关手续； 3、协助办理上海地区落户、居住证等相关事宜；,本科,1,2023-04-10 14:31,国盛证券,1001~3000人,上海,金融
人力资源助理实习生,120-130元/天,6个月,【岗位职责】,本科,2,2023-04-10 10:13,科锐国际,3001人及以上,北京,咨询/法律/人力资源
医学代表实习生-辽宁,120-150元/天,3个月,1. 遵循国家，行业和公司的法规，秉持高标准的商业规范。,本科,30,2023-04-10 15:07,阿斯利康,3001人及以上,上海,生物|医药
Business Analysis 助理商业分析师,9-12K/月,3个月,工作内容：,硕士,20,2023-04-10 14:11,凯捷咨询,3001人及以上,上海,咨询/法律/人力资源
[2024届实习可转正] 保险产品实习生（英语/日语）-大连/上海,120-220元/天,3个月,1.根据业务需求，协助导师研究互联网保险市场趋势及竞品动态，完成从保险产品市场调研、需求收集、形态设计、上线推动及产品营销的全过程，进行创新保险产品设计开发；,本科,18,2023-04-10 16:28,众安,1001~3000人,广东,互联网|游戏|软件
PR实习生,150-200元/天,5个月,1.按时完成舆情周报/竞品日报/简报/专报等撰写工作；,本科,1,2023-04-10 13:56,货拉拉,3001人及以上,广东,互联网|游戏|软件
策划实习生,100-150元/天,6个月,1、协助策划、筹备、执行线下会议营销活动（包括展会、区域经销商会、新品发布会等）,本科,1,2023-04-07 09:38,理邦仪器,1001~3000人,广东,生物|医药
内容运营实习生【公众号方向】,180-230元/天,3个月,岗位职责：,本科,1,2023-04-10 16:58,微店,1001~3000人,北京,互联网|游戏|软件
战略客户总部实习生（市场营销方向）,120-150元/天,3个月,1.对网络相关市场资讯、企业年报、竞品趋势等，进行搜索、整理和分析；,本科,1,2023-04-04 11:27,云南信托,101~300人,上海,金融
财务实习生,100-120元/天,3个月,1、报销单据的初审及入账工作；,本科,2,2023-04-07 16:13,碧桂园集团,3001人及以上,广东,建筑|地产|家居
HR招聘实习生,120-150元/天,3个月,1、利用各种招聘渠道发布招聘广告，寻求招聘机构； ,本科,13,2023-04-04 15:45,科锐国际,3001人及以上,北京,咨询/法律/人力资源
销售管理实习生,150-180元/天,3个月,1. 与销售部门紧密衔接，分析数据、管理需求预测；,不限,1,2023-04-06 10:19,美的集团,3001人及以上,广东,汽车|机械|制造
招聘方向实习生（HR4HR）,200-220元/天,3个月,协助推进招聘全流程工作、协助招聘项目开展及招聘数据统计。,本科,1,2023-04-07 15:07,美团,1001~3000人,北京,互联网|游戏|软件
运营实习生,150-200元/天,3个月,岗位职责：,本科,2,2023-04-10 11:59,云上会展有限公司,51~100人,上海,互联网|游戏|软件
短视频实习生,150-200元/天,4个月,1、参与公司合作及自建账号的定位规划、内容策划、拍摄剪辑工作 ,大专,1,2023-04-06 19:17,货拉拉,3001人及以上,广东,互联网|游戏|软件
短视频拍摄剪辑实习生,120-121元/天,3个月,【投递前请保证你的简历里内置你的作品链接，并介绍清楚你熟悉的拍摄产品】,本科,1,2023-04-10 15:28,网易有道,3001人及以上,北京,互联网|游戏|软件
桌面运维实习生,120-180元/天,3个月,【Job Description】,大专,2,2023-04-03 23:46,晶科科技,1001~3000人,上海,能源|环保
运营(销售）助理,130-150元/天,3个月,1、协助上海区域销售数据的统计与分析,本科,1,2023-04-06 15:14,好买财富,1001~3000人,上海,金融
上市公司-猎头实习生（线下）,120-150元/天,3个月,1、协助猎头顾问并独立对互联网/高科技客户需求职位（技术岗位居多）进行分析； ,本科,5,2023-04-04 15:45,科锐国际,3001人及以上,北京,咨询/法律/人力资源
校园推广大使,面议,长期,1.负责校园内打车软件的推广工作，完成推广团队的招募及管理,大专,30,2023-04-04 15:36,货拉拉,3001人及以上,广东,互联网|游戏|软件
校园推广大使,面议,长期,1.负责校园内打车软件的推广工作，完成推广团队的招募及管理,本科,30,2023-04-06 19:17,货拉拉,3001人及以上,广东,互联网|游戏|软件
股权投行实习生-武汉,80-100元/天,3个月,1）  协助项目组人员负责股权类业务的项目承做，协助梳理项目的尽职调查、方案设计、工作底稿及申报材料制作、项目报批、项目发行等全过程运作；,硕士,1,2023-04-07 15:05,天风证券,301~1000人,湖北,金融
医学代表实习生-内蒙古,120-150元/天,3个月,1. 遵循国家，行业和公司的法规，秉持高标准的商业规范。,本科,30,2023-04-10 15:07,阿斯利康,3001人及以上,上海,生物|医药
会计实习生,150-200元/天,4个月,JOB RESPONSIBILITY：,本科,1,2023-04-06 10:43,卡特彼勒,301~1000人,北京,汽车|机械|制造
HR实习生,100-200元/天,2个月,岗位职责：,本科,25,2023-04-10 10:30,科锐国际,1001~3000人,北京,咨询/法律/人力资源
医学代表实习生-吉林,120-150元/天,3个月,1. 遵循国家，行业和公司的法规，秉持高标准的商业规范。,本科,30,2023-04-10 15:07,阿斯利康,3001人及以上,上海,生物|医药
上市公司 · 猎头实习生（西安）线下,100-200元/天,3个月,1、协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求；,本科,10,2023-04-04 15:47,科锐国际,3001人及以上,北京,咨询/法律/人力资源
固定收益部实习生,120-150元/天,3个月,重点协助投资助理、产品助理、信用研究助理中的其中一个方向工作，协助剩余方向的工作，可能涉及的工作有：,本科,3,2023-04-04 17:48,云南信托,101~300人,上海,金融
海外市场实习生,150-180元/天,3个月,【工作职责】,本科,1,2023-04-07 14:05,叽里呱啦,301~1000人,上海,互联网|游戏|软件
A股上市公司猎头顾问实习生,100-120元/天,3个月,认识我们,本科,150,2023-04-10 10:13,科锐国际,3001人及以上,北京,咨询/法律/人力资源
政府信息化咨询助理（实习生）,120-150元/天,6个月,1. 协助咨询顾问为政府相关委办局提供政府信息化相关的全过程咨询服务，包括政府信息化项目的前期咨询、深化设计、监理服务等工作，解决政府相关委办局客户信息化建设中相关专业领域的整体架构、建设方案、过程管理、合法合规等各类管理问题。,本科,3,2023-04-07 16:14,邮研院,1001~3000人,上海,IT|通信|电子
海外市场实习生,150-180元/天,3个月,【工作职责】,本科,1,2023-04-07 14:05,叽里呱啦,301~1000人,上海,互联网|游戏|软件
活动运营实习生,100-101元/天,3个月,1、 立足项目目标，结合适用节点，参与面向目标用户的活动策划；,不限,1,2023-04-04 18:53,搜狐,3001人及以上,北京,互联网|游戏|软件
人力实习生,129-135元/天,3个月,1、招聘,本科,2,2023-04-07 16:32,力合科创,301~1000人,广东,金融
