岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域,发布日期,年
蔚来顾问助理,125.0,6个月,"['展厅', '接待', '潜在用户', '介绍', '车辆', '信息', '解答', '疑问']",大专,1,2023-03-17 16:49:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-17,2023
蔚来产品专家,125.0,6个月,"['展厅', '接待', '潜在用户', '介绍', '车辆', '信息', '解答', '疑问']",大专,1,2023-03-17 16:49:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-17,2023
法务助理实习生/Paralegal Internship,165.0,6个月,"['\xa0', 'This', '\xa0', 'is', '\xa0', 'an', '\xa0', 'exciting', '\xa0', 'internship', '\xa0', 'opportunity', '\xa0', 'for', '\xa0', 'those', '\xa0', 'who', '\xa0', 'are', '\xa0', 'seeking', '\xa0', 'for', '\xa0', 'practical', '\xa0', 'working', '\xa0', 'experience', '\xa0', 'and', '\xa0', 'fully', '\xa0', 'involving', '\xa0', 'in', '\xa0', 'team', '\xa0', 'cooperation', '\xa0', 'in', '\xa0', 'large', '\xa0', 'multinational', '\xa0', 'companies', '\xa0', 'You', '\xa0', 'will', '\xa0', 'closely', '\xa0', 'support', '\xa0', 'the', '\xa0', 'work', '\xa0', 'of', '\xa0', 'Legal', '\xa0', 'Manager', '\xa0', 'in', '\xa0', 'China', '\xa0', 'as', '\xa0', 'well', '\xa0', 'as', '\xa0', 'APAC', '\xa0', 'Legal', '\xa0', 'Head']",本科,2,2023-03-17 14:18:00,隶属世界500强达飞集团,1001~3000人,北京市,交通|物流|贸易,2023-03-17,2023
HR Intern 人事实习生,150.0,3个月,"['Primary', '\xa0', 'Responsibilities']",本科,1,2023-03-17 11:25:00,SABIC,3001人及以上,上海市,能源|环保,2023-03-17,2023
供应链customer service,130.0,3个月,"['\xa0', 'Order', '\xa0', 'Fulfillment']",本科,1,2023-03-17 11:25:00,SABIC,3001人及以上,上海市,能源|环保,2023-03-17,2023
客户邀约实习生,145.0,3个月,"['\xa0', '\xa0', '公司', '提供', '客户资源', '目标', '客户', '群体', '进行', '电话', '沟通']",不限,4,2023-03-27 18:03:00,FAFULI,101~300人,上海市,咨询/法律/人力资源,2023-03-27,2023
初级IT咨询顾问,175.0,长期,"['能够', '埃森哲', '技术', '实习生', '项目', '获得']",本科,100,2023-03-17 10:55:00,埃森哲,3001人及以上,上海市,咨询/法律/人力资源,2023-03-17,2023
酒店助理,100.0,长期,"['每天', '早上', '下午', '晚上', '完成', '全部', '客房', '除湿机', '倒水', '工作', '检查', '客房', '状况']",不限,10,2023-03-20 19:15:00,康藤旅游,101~300人,云南省,政府/非盈利机构/其他,2023-03-20,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,四川省,生物|医药,2023-04-10,2023
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,四川省,生物|医药,2023-04-10,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,辽宁省,生物|医药,2023-04-10,2023
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,辽宁省,生物|医药,2023-04-10,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,广东省,生物|医药,2023-04-10,2023
人力资源实习生-员工关系方向,125.0,2个月,"['协助', '员工', '关系', '入', '续', '转', '调', '手续', '办理']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,广东省,生物|医药,2023-04-10,2023
行政助理实习生,125.0,2个月,"['\xa0', '联络人', '协助', 'GCO', '\xa0', 'China', '进行', '临床试验', '审批', '材料', '盖章', '邮寄']",本科,1,2023-04-10 13:29:00,利奥医药,101~300人,上海市,生物|医药,2023-04-10,2023
