岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域,发布日期,年
政府信息化咨询助理,135.0,6个月,"['\xa0', '协助', '咨询', '顾问', '政府', '相关', '委办局', '提供', '政府', '信息化', '相关', '全过程', '咨询服务', '包括', '政府', '信息化', '项目', '前期', '咨询', '深化', '设计', '监理', '服务', '工作', '解决', '政府', '相关', '委办局', '客户', '信息化', '建设', '相关', '专业', '领域', '整体', '架构', '建设', '方案', '过程', '管理', '合法', '合规', '各类', '管理', '问题']",本科,3,2023-04-07 16:14:00,邮研院,1001~3000人,上海市,IT|通信|电子,2023-04-07,2023
活动运营实习生,100.5,3个月,"['\xa0', '立足', '项目', '目标', '结合', '适用', '节点', '参与', '面向', '目标', '用户', '活动', '策划']",不限,1,2023-04-04 18:53:00,搜狐,3001人及以上,北京市,互联网|游戏|软件,2023-04-04,2023
人力实习生,132.0,3个月,['招聘'],本科,2,2023-04-07 16:32:00,力合科创,301~1000人,广东省,金融,2023-04-07,2023
招聘/猎头实习生,135.0,3个月,"['工作', '职责']",本科,30,2023-04-04 16:45:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-04,2023
市场实习生,189.5,长期,['RESPONSIBILITIES'],本科,1,2023-04-10 16:04:00,达伯埃,51~100人,上海市,快速消费品,2023-04-10,2023
社群运营实习生,150.0,3个月,"['业务', '发展', '方向', '管理', '社群', '运营', '挖掘', '社群', '用户', '需求', '活动', '互动', '提高', '社群', '粘性', '\xa0']",大专,2,2023-04-04 09:35:00,货拉拉,3001人及以上,广东省,互联网|游戏|软件,2023-04-04,2023
量化投资实习生,125.0,3个月,"['开发', '投资', '使用', '量化', '因子']",硕士,2,2023-04-04 13:20:00,湘财证券,3001人及以上,上海市,金融,2023-04-04,2023
活动运营实习生,125.0,3个月,"['负责', '高校', '活动', '跟进', '输出', '活动', '方案', '宣传', '物料', '跟踪', '控', '活动', '整体', '流程', '对拉新', '目标', '进行', '管理', '主要', '内容', '简历', '大赛', '高校', '活动', '赞助']",本科,1,2023-04-04 17:16:00,丁香园,1001~3000人,浙江省,互联网|游戏|软件,2023-04-04,2023
用户运营实习生,135.0,3个月,"['参与', '用户', '运营', '制定', '实施', '实现', '用户', '增长', '转化', '用户', '留存', '\xa0']",本科,3,2023-04-07 15:28:00,网易有道,3001人及以上,北京市,互联网|游戏|软件,2023-04-07,2023
猎头/招聘实习生,135.0,3个月,"['猎头', '招聘', '实习生', '需', '广州', '线下', '实习', '\xa0']",本科,5,2023-04-07 17:42:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-07,2023
招聘/猎头实习生,135.0,3个月,"['招聘', '实习生', '远程', '线上', '实习', '\xa0']",本科,5,2023-04-07 17:42:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-07,2023
新媒体运营实习生,165.0,3个月,['岗位职责'],本科,1,2023-04-07 13:34:00,叽里呱啦,301~1000人,上海市,互联网|游戏|软件,2023-04-07,2023
用户运营实习生,125.0,3个月,"['负责', '整理', '丁香', '园', 'APP', '优质', '内容', '渠道', '内容', '进行', '分发', '提升', 'APP', '活跃']",本科,1,2023-04-10 16:08:00,丁香园,1001~3000人,浙江省,互联网|游戏|软件,2023-04-10,2023
行政实习生,125.0,3个月,"['行政', '费用', '管理', '统筹', '公司', '中心', '部门', '行政', '统筹', '专控', '费用', '通讯', '车补', '交际', '差旅', '管理', '规范', '费用', '标准', '有效', '控制', '公司', '成本费用']",本科,1,2023-04-10 13:36:00,华润三九,3001人及以上,广东省,生物|医药,2023-04-10,2023
猎头/招聘实习生,160.0,3个月,"['猎头', '招聘', '实习生', '需', '深圳', '线下', '实习', '\xa0']",本科,5,2023-04-07 17:42:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-07,2023
资料录入文员,175.0,3个月,"['整理', '法院', '内部', '案件', '纸质', '材料', '做好', '扫描', '整理', '登记', '案件', '管理人员', '核对', '案件', '整理', '无误']",大专,4,2023-04-10 09:45:00,北明软件,1001~3000人,广东省,IT|通信|电子,2023-04-10,2023
财务实习生,135.0,3个月,"['\xa0', '负责', '财务部', '业务', '模块', '数据', '整理', '筛选', '单据', '核对', '工作']",本科,3,2023-04-07 16:29:00,和誉生物,101~300人,上海市,生物|医药,2023-04-07,2023
HR招聘实习生,140.0,3个月,"['\xa0', '结合', '业务', '发展', '用人', '部门', '需求', '确定', '招聘', '需求', '实施', '招聘']",本科,10,2023-04-10 13:58:00,中芯国际,3001人及以上,上海市,IT|通信|电子,2023-04-10,2023
质量与法规事务实习生,135.0,3个月,"['职位', '描述']",不限,1,2023-04-07 10:44:00,费森尤斯医疗,1001~3000人,上海市,生物|医药,2023-04-07,2023
KOL执行实习生,135.0,3个月,"['负责', '配合', '执行', '提报', '商务', '需求']",本科,1,2023-04-06 11:43:00,爱点击,1001~3000人,上海市,互联网|游戏|软件,2023-04-06,2023
线上实习生,160.0,2个月,"['科锐', '国际', '\xa0']",本科,40,2023-04-10 10:52:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-10,2023
BD实习生,160.0,2个月,"['按计划', '要求', '联系', '拜访', '客户', '目标', '客户', '提供', '有效', '咨询', '解决方案']",本科,5,2023-04-03 15:24:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-03,2023
财务实习生,135.0,3个月,"['凭证', '整理', '装订']",本科,2,2023-04-03 15:24:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-03,2023
行政实习生,135.0,3个月,"['日常', '单据', '报销', '审核']",本科,2,2023-04-03 15:23:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-03,2023
华南商务合作助理,90.0,3个月,"['协助', '完成', '客户', '背调', '提取', '核心', '信息']",本科,1,2023-04-03 15:02:00,财新传媒,301~1000人,广东省,广告|传媒|文化|体育,2023-04-03,2023
业务流程管理实习生,90.0,4个月,"['业务流程', '管理', '辅助', '协助', '处理', '业务', '内控', '流程', '合规', '审核', '报销', '系统', '录入', '工作']",本科,1,2023-04-03 14:30:00,dentsu,1001~3000人,北京市,广告|传媒|文化|体育,2023-04-03,2023
HRBP实习生,110.0,3个月,"['协助', '外部', '相关', '政策', '柜台', '咨询', '办理']",本科,1,2023-04-03 13:49:00,益海嘉里,3001人及以上,上海市,交通|物流|贸易,2023-04-03,2023
日化品牌实习生,100.0,3个月,"['工作', '职责']",本科,1,2023-04-03 13:49:00,益海嘉里,3001人及以上,上海市,交通|物流|贸易,2023-04-03,2023
项目助理+SAP HR模块实习生,170.0,长期,"['Working', '\xa0', 'content']",本科,1,2023-04-03 13:49:00,源讯中国,301~1000人,北京市,互联网|游戏|软件,2023-04-03,2023
软件测试实习生,170.0,长期,"['\xa0', '协助', '工程师', 'follow', '\xa0', 'case', '进度']",本科,1,2023-04-03 13:46:00,源讯中国,301~1000人,北京市,互联网|游戏|软件,2023-04-03,2023
招聘实习生 ,125.0,3个月,"['快速', '理解', '客户', '公司', '委托', '职位', '制定', '找寻', '人才', '方向', '\xa0']",本科,20,2023-04-03 13:34:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-03,2023
猎头实习生,125.0,3个月,"['参与', '日常', '招聘', '工作', '协助', '进行', '人才', '招聘', '面试', '安排', '接待', '工作']",本科,20,2023-04-03 13:34:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-03,2023
行政前台,110.0,3个月,['岗位职责'],本科,1,2023-04-03 13:33:00,中投中财,101~300人,北京市,金融,2023-04-03,2023
HR实习生,145.0,3个月,"['维护', '拓展', '公司', '招聘', '渠道', '更新', '招聘', '信息', '\xa0']",本科,1,2023-04-03 11:10:00,字节跳动,3001人及以上,上海市,互联网|游戏|软件,2023-04-03,2023
销售助理实习生,125.0,3个月,"['工作', '职责']",本科,3,2023-04-03 10:48:00,东软集团,3001人及以上,北京市,互联网|游戏|软件,2023-04-03,2023
渠道管理实习生,135.0,6个月,"['经销商', '资质', '文档', '管理']",本科,1,2023-04-03 10:06:00,费森尤斯医疗,1001~3000人,上海市,生物|医药,2023-04-03,2023
内容运营助理,160.0,3个月,"['\xa0', '品牌', '特性', '产品', '卖点', '动态', '市场', '洞察', '结合', '热点', '节日', '品牌', '事件', '销售', '端口', '产品', '端口', '需求', '反馈', '提炼', '亮点', '进行', '文案', '编辑', '撰写']",本科,2,2023-04-03 09:18:00,新通教育,3001人及以上,浙江省,教育培训,2023-04-03,2023
售后市场部实习生,135.0,6个月,"['售后', '市场部', '直接', '面对', '终端', '市场', '客户', '负责', '售后', '市场', '市场', '战略', '产品', '内容', '输出', '负责', '组织', '线上', '线下', '市场', '活动', '来触', '客户']",本科,1,2023-04-04 10:51:00,盖瑞特,1001~3000人,上海市,汽车|机械|制造,2023-04-04,2023
招聘实习生,125.0,3个月,['岗位职责'],不限,1,2023-04-06 11:45:00,Fesco广东,301~1000人,广东省,咨询/法律/人力资源,2023-04-06,2023
财务实习生,135.0,6个月,['职责'],本科,1,2023-04-06 13:44:00,上海贝尔企业通信,301~1000人,上海市,IT|通信|电子,2023-04-06,2023
猎头顾问实习生,150.0,3个月,"['协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,10,2023-04-10 10:20:00,科锐国际,301~1000人,陕西省,咨询/法律/人力资源,2023-04-10,2023
资本市场部实习生,95.0,3个月,"['参与', '私募', '基金', '发行', '生命周期', '管理工作', '包括', '限于', '产品', '发行', '成立', '产品', '备案', '产品', '建仓', '调仓', '\xa0']",本科,2,2023-04-10 15:13:00,陆浦投资,301~1000人,上海市,金融,2023-04-10,2023
编辑实习生——统计学,160.0,3个月,"['统计学', '专业', '考研', '考证', '相关', '笔记', '整理', '核对', '答案', '解析']",硕士,100,2023-04-10 09:02:00,圣才电子书,101~300人,北京市,互联网|游戏|软件,2023-04-10,2023
HR实习生,150.0,3个月,"['协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,15,2023-04-10 17:38:00,科锐国际,301~1000人,陕西省,咨询/法律/人力资源,2023-04-10,2023
网课-教学助教 | Teaching Assistant,125.0,1个月,"['实习', '岗位']",本科,10,2023-04-07 16:48:00,JNC,51~100人,广东省,教育培训,2023-04-07,2023
HR Intern,135.0,3个月,"['协助', 'HR', '同事', '完成', '日常', '招聘', '工作']",本科,1,2023-04-06 15:34:00,盖瑞特,1001~3000人,上海市,汽车|机械|制造,2023-04-06,2023
财务实习生,135.0,长期,['职责'],本科,1,2023-04-06 13:44:00,上海贝尔企业通信,301~1000人,上海市,IT|通信|电子,2023-04-06,2023
汽车智能网联实习生,175.0,6个月,[],本科,1,2023-04-06 10:09:00,盖瑞特,1001~3000人,上海市,汽车|机械|制造,2023-04-06,2023
招聘专员,216.67,6个月,"['\xa0', '负责', '完成', '公司', '招聘', '目标', '快速', '满足', '部门', '招聘', '需求']",本科,10,2023-04-06 16:35:00,湖北纳杰,3001人及以上,湖北省,咨询/法律/人力资源,2023-04-06,2023
销售助理实习生,155.0,3个月,"['\xa0', '协助', '渠道', '销售部', '经销商', '完成', '报价', '\xa0', '跟进', '交货', '出货', '安排', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']",大专,2,2023-04-10 13:20:00,外企德科,1001~3000人,上海市,咨询/法律/人力资源,2023-04-10,2023
猎头顾问,150.0,3个月,"['客户', '所在', '行业', '客户', '需求', '目标', '职位', '分析', '拟定', '一套', '完善', '用人', '寻访', '目标', '公司', '候选人', '寻访', '方案']",本科,15,2023-04-04 14:52:00,科锐国际,301~1000人,陕西省,咨询/法律/人力资源,2023-04-04,2023
猎头实习生,150.0,3个月,"['协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,15,2023-04-07 16:28:00,科锐国际,301~1000人,陕西省,咨询/法律/人力资源,2023-04-07,2023
营销分析实习生,135.0,3个月,"['最新', '汽车', '工业', '涡轮', '增压', '竞争', '动态']",本科,1,2023-04-06 10:13:00,盖瑞特,1001~3000人,上海市,汽车|机械|制造,2023-04-06,2023
线下项目-教学助教 | Teaching Assistant,125.0,1个月,"['实习', '岗位']",本科,10,2023-04-07 16:48:00,JNC,51~100人,广东省,教育培训,2023-04-07,2023
综合部实习生,147.5,3个月,"['工作', '职责']",本科,1,2023-04-04 12:27:00,理成资产,11~50人,上海市,金融,2023-04-04,2023
资本市场部实习生,99.5,长期,"['参与', '私募', '基金', '发行', '生命周期', '管理工作', '包括', '限于', '产品', '发行', '成立', '产品', '备案', '产品', '建仓', '调仓', '\xa0']",本科,2,2023-04-10 15:13:00,陆浦投资,301~1000人,上海市,金融,2023-04-10,2023
Marketing Analyst Intern,155.0,6个月,"['Your', '\xa0', 'role', '\xa0', 'with', '\xa0', 'Garrett']",本科,1,2023-04-06 10:09:00,盖瑞特,1001~3000人,上海市,汽车|机械|制造,2023-04-06,2023
数字化推广实习生,155.0,3个月,"['美化', 'ppt']",本科,1,2023-04-10 10:37:00,外企德科,1001~3000人,上海市,咨询/法律/人力资源,2023-04-10,2023
编辑实习生——金融学,160.0,3个月,"['金融学', '专业', '考研', '考证', '相关', '笔记', '整理', '核对', '答案', '解析']",硕士,100,2023-04-10 09:02:00,圣才电子书,101~300人,北京市,互联网|游戏|软件,2023-04-10,2023
寒暑假工,166.67,2个月,"['负责', '产线', '正常', '生产']",不限,60,2023-04-07 14:41:00,湖北纳杰,3001人及以上,湖北省,咨询/法律/人力资源,2023-04-07,2023
编辑实习生——护理学,160.0,3个月,"['护理学', '专业', '考研', '考证', '相关', '笔记', '整理', '核对', '答案', '解析']",硕士,100,2023-04-10 09:02:00,圣才电子书,101~300人,北京市,互联网|游戏|软件,2023-04-10,2023
马原编辑实习生,160.0,3个月,"['药学', '专业', '考研', '考证', '相关', '笔记', '整理', '核对', '答案', '解析']",硕士,100,2023-04-04 08:45:00,圣才电子书,101~300人,北京市,互联网|游戏|软件,2023-04-04,2023
猎头顾问实习生,150.0,3个月,"['协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,15,2023-04-10 17:38:00,科锐国际,301~1000人,陕西省,咨询/法律/人力资源,2023-04-10,2023
文案实习生,145.0,6个月,"['工作', '内容']",本科,1,2023-04-03 17:23:00,CGP,101~300人,上海市,咨询/法律/人力资源,2023-04-03,2023
小学助教老师,150.0,1个月,"['跟进', '体验', '课', '学员', '学员', '家长', '保持良好', '沟通', '加强', '客户', '课程', '产品', '兴趣']",本科,20,2023-03-31 17:49:00,跟谁学高途课堂,3001人及以上,四川省,教育培训,2023-03-31,2023
人力资源实习生,200.0,4个月,"['\xa0', '协助', '开展', '各项', '人员', '招聘', '工作', '参与', '面试', '流程', '管理', '协助', '优化', '招聘', '相关', '制度', '流程', '表单']",本科,2,2023-03-31 15:53:00,科园贸易,301~1000人,北京市,生物|医药,2023-03-31,2023
蔚来实习生,175.0,6个月,"['负责', '对内', '对外', 'VI', '设计', '落地']",本科,1,2023-03-31 14:21:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
服务代表实习,125.0,4个月,"['工作', '职责']",大专,2,2023-03-31 14:20:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
蔚来顾问助理,125.0,6个月,"['展厅', '接待', '潜在用户', '介绍', '车辆', '信息', '解答', '疑问']",大专,1,2023-03-31 14:19:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
运营实习生,125.0,6个月,"['工作', '职责', '\xa0']",本科,1,2023-03-31 14:19:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
交付实习生,125.0,3个月,"['\xa0', '完成', '车辆', '美容', '之前', '文件', '准备', '工作']",本科,2,2023-03-31 14:18:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
交付实习生,125.0,4个月,"['负责', '交付', '现场', '秩序', '维护', '物料', '准备']",大专,1,2023-03-31 14:18:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
活动运营实习生,125.0,5个月,"['\xa0', '统筹', '业务', '运营', '阶段性', '目标', '实现', '良好', '过程', '管理', '阶段性', '目标', '输出', '负责']",大专,1,2023-03-31 14:18:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
蔚来空间运营实习生,125.0,6个月,"['价值观', '建立', '日常', '工作', '践行', '蔚来', '价值观']",本科,1,2023-03-31 14:17:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
蔚来实习生,175.0,6个月,"['负责', '对内', '对外', 'VI', '设计', '落地']",本科,1,2023-03-31 14:17:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
蔚来顾问实习生,125.0,6个月,"['展厅', '接待', '潜在用户', '介绍', '车辆', '信息', '解答', '疑问']",大专,1,2023-03-31 14:10:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
蔚来实习生,145.0,6个月,"['\xa0', '\xa0', '用户', '活动', '策划', '执行']",本科,1,2023-03-31 14:09:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
市场部实习生,125.0,6个月,"['内容', '生产', '协助', '参与', '产出', '具备', '品牌', '产品', '向往', '内容']",本科,1,2023-03-31 14:08:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
蔚来顾问助理,125.0,6个月,"['展厅', '接待', '潜在用户', '介绍', '车辆', '信息', '解答', '疑问']",大专,1,2023-03-31 14:07:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
蔚来顾问助理实习生,125.0,6个月,"['展厅', '接待', '潜在用户', '介绍', '车辆', '信息', '解答', '疑问']",大专,1,2023-03-31 13:58:00,NIO蔚来,3001人及以上,上海市,汽车|机械|制造,2023-03-31,2023
HR Intern人事实习生,149.5,长期,"['注', '岗位', '接受', '线上', '实习', '地点', '位于', '上海市', '金山区']",本科,1,2023-03-31 13:26:00,上海乐高乐园度假区,1001~3000人,上海市,生活服务,2023-03-31,2023
人力资源部实习生,130.0,3个月,"['协助', '开展', '招聘', '工作', '简历', '筛选', '面试', '安排']",本科,1,2023-03-31 10:03:00,财通基金,301~1000人,上海市,金融,2023-03-31,2023
后端开发实习生,166.67,3个月,"['参与', '产品', '需求', '研发', '设计', '相关', '讨论', '快速', '理解', '业务', '需求']",本科,10,2023-04-05 15:10:00,科通实业,51~100人,上海市,互联网|游戏|软件,2023-04-05,2023
猎头顾问助理,125.0,长期,"['协助', '猎头', '顾问', '操作', '项目', '职位', '进行', '学习', '资料', '收集']",本科,5,2023-04-10 17:25:00,猎聘网,1001~3000人,广东省,互联网|游戏|软件,2023-04-10,2023
人力资源实习生,110.0,3个月,"['HRBP', '配合', '同事', '完成', '业务', '招聘', '培训', '员工', '关系', '模块', '相关', '专项', '工作', '\xa0']",本科,2,2023-04-10 14:23:00,深圳中海地产有限公司,101~300人,广东省,建筑|地产|家居,2023-04-10,2023
web前端开发实习生,166.67,3个月,"['参与', '产品', '需求', '研发', '设计', '相关', '讨论', '快速', '理解', '业务', '需求']",本科,10,2023-04-10 11:55:00,科通实业,51~100人,上海市,互联网|游戏|软件,2023-04-10,2023
产品助理实习生,166.67,3个月,"['协助', '项目经理', '完成', '整个', '项目', '过程', '工作', '开展']",本科,10,2023-04-04 12:38:00,科通实业,51~100人,上海市,互联网|游戏|软件,2023-04-04,2023
新媒体运营实习生,166.67,3个月,"['负责', '媒体', '官方', '微博', '微信', '视频', '号', '日常', '运营', '工作', '包括', '限于', '活动', '策划', '热点', '追踪', '用户', '互动', '传播', '资源', '整合', '增加', '粉丝', '数', '增强', '活跃度', '提高', '曝光率']",本科,10,2023-04-06 19:00:00,科通实业,51~100人,上海市,互联网|游戏|软件,2023-04-06,2023
人力资源实习生,110.0,长期,"['协助', '猎头', '顾问', '操作', '项目', '职位', '进行', '学习', '资料', '收集']",不限,3,2023-04-10 17:25:00,猎聘网,1001~3000人,广东省,互联网|游戏|软件,2023-04-10,2023
HR实习,135.0,3个月,"['DSS', '\xa0', 'Sustainable', '\xa0', 'Solutions', '\xa0', 'is', '\xa0', 'the', '\xa0', 'former', '\xa0', 'consulting', '\xa0', 'business', '\xa0', 'unit', '\xa0', 'of', '\xa0', 'DuPont', '\xa0', 'known', '\xa0', 'as', '\xa0', 'DuPont', '\xa0', 'Sustainable', '\xa0', 'Solutions', '\xa0', 'which', '\xa0', 'became', '\xa0', 'an', '\xa0', 'independent', '\xa0', 'consulting', '\xa0', 'firm', '\xa0', 'in', '\xa0', '2019', '\xa0', 'after', '\xa0', 'its', '\xa0', 'separation', '\xa0', 'from', '\xa0', 'DuPont', '\xa0']",本科,1,2023-04-10 09:27:00,DSS,51~100人,上海市,咨询/法律/人力资源,2023-04-10,2023
质量实习生,125.0,6个月,"['协助', 'EWS', '文档', '更新']",本科,1,2023-04-10 09:09:00,法雷奥佛山冷却,301~1000人,广东省,汽车|机械|制造,2023-04-10,2023
销售顾问实习生,133.33,3个月,"['福利待遇', '说明']",本科,10,2023-04-05 15:10:00,科通实业,51~100人,上海市,互联网|游戏|软件,2023-04-05,2023
测试实习生,166.67,3个月,"['参与', '公司', '项目', '开发', '各个环节', '全面', '了解', '产品', '功能']",本科,10,2023-04-05 15:10:00,科通实业,51~100人,上海市,互联网|游戏|软件,2023-04-05,2023
"Scheduler, Intern",135.0,3个月,"['DSS', '\xa0', 'Sustainable', '\xa0', 'Solutions', '\xa0', 'is', '\xa0', 'the', '\xa0', 'former', '\xa0', 'consulting', '\xa0', 'business', '\xa0', 'unit', '\xa0', 'of', '\xa0', 'DuPont', '\xa0', 'known', '\xa0', 'as', '\xa0', 'DuPont', '\xa0', 'Sustainable', '\xa0', 'Solutions', '\xa0', 'which', '\xa0', 'became', '\xa0', 'an', '\xa0', 'independent', '\xa0', 'consulting', '\xa0', 'firm', '\xa0', 'in', '\xa0', '2019', '\xa0', 'after', '\xa0', 'its', '\xa0', 'separation', '\xa0', 'from', '\xa0', 'DuPont', '\xa0']",本科,1,2023-04-10 09:27:00,DSS,51~100人,上海市,咨询/法律/人力资源,2023-04-10,2023
法务实习生,166.67,3个月,"['研究院', '业务', '提供', '法律', '支持', '法律', '风险', '进行', '评估', '提出', '改进', '方案']",本科,10,2023-04-10 11:55:00,科通实业,51~100人,上海市,互联网|游戏|软件,2023-04-10,2023
编导/短视频实习生,166.67,3个月,"['负责', '15', '秒', '60', '秒', '广告', '视频', '撰本', '撰写', '内容', '策划', '视频', '拍摄', '后期', '剪辑', '工作', '\xa0']",本科,10,2023-04-06 19:00:00,科通实业,51~100人,上海市,互联网|游戏|软件,2023-04-06,2023
猎头顾问助理实习生/招聘实习生,120.0,2个月,"['一位', '猎头', '顾问', '助理', '有意', '人力资源', '招聘', '方向', '发展', '童鞋', '赶紧', '投递', '简历']",本科,3,2023-04-10 17:25:00,猎聘网,1001~3000人,广东省,互联网|游戏|软件,2023-04-10,2023
财务助理实习生,166.67,3个月,"['财务', '数据录入']",本科,10,2023-04-10 11:55:00,科通实业,51~100人,上海市,互联网|游戏|软件,2023-04-10,2023
精益生产实习生,125.0,6个月,"['负责', '工厂', '标准', '工时', '测定', '工序', '重排', '方案', '制订']",本科,1,2023-04-10 09:03:00,法雷奥佛山冷却,301~1000人,广东省,汽车|机械|制造,2023-04-10,2023
人力资源实习生,116.67,3个月,"['协调', '办理', '员工', '入职', '转正', '离职', '调岗', '手续']",本科,1,2023-04-03 16:52:00,深圳金斧子,301~1000人,广东省,金融,2023-04-03,2023
品牌设计实习生,175.0,4个月,"['源码', '资本', '品牌设计', '实习生']",本科,1,2023-03-30 17:51:00,源码资本,11~50人,北京市,金融,2023-03-30,2023
软件测试实习生,185.0,5个月,"['参与', '需求', '评审', '理解', '项目', '需求', '细节', '提出', '评审', '缺陷']",本科,5,2023-03-30 17:39:00,华资软件,1001~3000人,广东省,互联网|游戏|软件,2023-03-30,2023
项目经理管培生,185.0,5个月,"['注意', '岗位', '最终', '培养', '方向', '软件', '项目经理', '岗位', '旨在', '培养', '同学', '能够', '培养', '周期', '独立', '负责', '事业部', '软件', '项目管理', '工作', '采用', '导师制', '导师', '具有', '百万', '级', '以上', '项目管理', '经验', '资深', '项目经理', '月度', '季度', '年度', '周期', '设置', '阶段', '目标', '工作', '内容', '轮岗', '逐步', '能力', '赋予', '一定', '挑战性', '工作']",本科,5,2023-03-30 17:36:00,华资软件,1001~3000人,广东省,互联网|游戏|软件,2023-03-30,2023
Finance Intern,130.0,3个月,"['Job', '\xa0', 'Describe']",本科,1,2023-03-30 16:39:00,SABIC,3001人及以上,上海市,能源|环保,2023-03-30,2023
HR实习生,130.0,3个月,"['协助', 'HR', '开展', '各项', '人力资源', '工作']",本科,1,2023-03-30 15:05:00,SABIC,3001人及以上,上海市,能源|环保,2023-03-30,2023
BO客服实习生,135.0,6个月,"['技术', '服务部', '订单', '处理', '包括', '发货', '跟踪', '订单', '整理', '维修', '寄售库', '处理']",本科,1,2023-03-30 11:48:00,费森尤斯医疗,1001~3000人,上海市,生物|医药,2023-03-30,2023
仓库办公室实习生,125.0,6个月,"['进出', '货物', '管控', '仓库', '日常', '管理']",大专,1,2023-03-30 11:26:00,博世,301~1000人,山东省,汽车|机械|制造,2023-03-30,2023
新媒体运营实习生,165.0,3个月,['岗位职责'],本科,1,2023-03-30 11:19:00,叽里呱啦,301~1000人,上海市,互联网|游戏|软件,2023-03-30,2023
Logistics Intern / 物流实习生,125.0,6个月,"['物流', '部门', '相关', '沟通', '支持', '工作']",本科,1,2023-03-30 11:18:00,博世,301~1000人,山东省,汽车|机械|制造,2023-03-30,2023
视频编辑实习生,150.0,6个月,"['上市', '凡科', '企业', '用户', '\xa0', '提供', '多元', '高效', '易用', '互联网', '工具', '帮助', '越来越', '企业', '有效', '降低', '运营', '成本', '凡科', '规模', '扩大', '期待', '新鲜血液', '加入']",大专,1,2023-04-04 09:32:00,凡科,301~1000人,广东省,互联网|游戏|软件,2023-04-04,2023
HR实习生,170.0,3个月,"['接受', '到场', '实习生', '坐标', '海淀区', '海淀', '桥']",本科,2,2023-04-04 10:32:00,创业大街,51~100人,北京市,咨询/法律/人力资源,2023-04-04,2023
投资实习生,200.0,3个月,"['协助', '部门', '撰写', '医药', '医疗', '行业', '分析', '报告', '\xa0']",硕士,2,2023-04-10 17:12:00,江西济民可信集团有限公司,3001人及以上,江西省,生物|医药,2023-04-10,2023
设计助理实习生,150.0,3个月,"['上市', '凡科', '企业', '用户', '提供', '多元', '高效', '易用', '互联网', '工具', '帮助', '越来越', '企业', '有效', '降低', '运营', '成本', '凡科', '规模', '扩大', '期待', '新鲜血液', '加入']",大专,2,2023-04-04 09:32:00,凡科,301~1000人,广东省,互联网|游戏|软件,2023-04-04,2023
